,trn,tst,oot
0,0.5248539754440339,0.5356550580431177,0.5041911148365466
1,0.5289492494639028,0.5253252145031829,0.5075440067057837
2,0.530723606168446,0.525020967291026,0.5075440067057837
3,0.5304368584387682,0.5219068613943235,0.5071248952221291
4,0.5273649445623968,0.5313119863984131,0.5058675607711651
5,0.5336481700118064,0.5139949109414759,0.5058675607711651
6,0.5303370786516854,0.5228040540540541,0.5062866722548198
7,0.5305348037471836,0.5229434806939004,0.5046102263202011
8,0.5283557246462965,0.5275305895439377,0.5062866722548198
9,0.5321220757629735,0.5167317345231456,0.5058675607711651
10,0.538066212501494,0.506043956043956,0.508382229673093
11,0.5295886456579264,0.5215272136474411,0.5041911148365466
12,0.5275262154432793,0.5313969571230982,0.5067057837384744
13,0.5239563567362429,0.5367832167832168,0.5067057837384744
14,0.5272945410917816,0.5299564270152506,0.508382229673093
15,0.5327594452415112,0.5185286851496019,0.508382229673093
16,0.530373001776199,0.5230207748455924,0.5067057837384744
17,0.5307195792493425,0.5218346608074704,0.5075440067057837
18,0.5328276842853756,0.5163911459792659,0.5058675607711651
19,0.5292572247432529,0.5249105422515827,0.5071248952221291
20,0.5308583024949266,0.5214876033057851,0.5058675607711651
21,0.5282660332541568,0.5280178422079732,0.5054484492875104
22,0.5317725752508361,0.5204951856946355,0.5067057837384744
23,0.5303774715398443,0.5215729109776078,0.5054484492875104
24,0.5272076372315035,0.5299145299145299,0.5062866722548198
25,0.5270367700072098,0.5310719131614654,0.5058675607711651
26,0.5340095465393795,0.5144747725392886,0.5054484492875104
27,0.5276483936462438,0.5280682443588333,0.5037720033528919
28,0.5321609250782944,0.5171390013495276,0.5062866722548198
29,0.5278704144830871,0.5283854887842703,0.5075440067057837
