bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
41.0,5834.0,5793.0,41.0,99.29722317449435,0.7027768255056515,239216.0,233171.0,6045.0,40.54738826344473,71.99857074797522,31.45118248453049,38.572539288668324
42.0,5835.0,5804.0,31.0,99.46872322193659,0.5312767780634147,245051.0,238975.0,6076.0,41.55667776119974,72.36779418770843,30.81111642650869,39.33097432521396
43.0,5834.0,5794.0,40.0,99.3143640726774,0.6856359273225934,250885.0,244769.0,6116.0,42.56422830392761,72.84421152929967,30.279983225372064,40.02109221713538
44.0,5835.0,5792.0,43.0,99.2630676949443,0.7369323050557028,256720.0,250561.0,6159.0,43.57143105565004,73.35636017151025,29.78492911586021,40.68209124857931
45.0,5834.0,5779.0,55.0,99.05725059993144,0.9427494000685641,262554.0,256340.0,6214.0,44.57637316583718,74.0114340161982,29.435060850361012,41.25201158673962
46.0,5835.0,5793.0,42.0,99.280205655527,0.7197943444730015,268389.0,262133.0,6256.0,45.58374981306233,74.51167222486899,28.927922411806655,41.90105498721228
47.0,5834.0,5798.0,36.0,99.38292766540967,0.6170723345903326,274223.0,267931.0,6292.0,46.59199593780106,74.94044783230109,28.34845189450003,42.582803560076286
48.0,5835.0,5785.0,50.0,99.14310197086547,0.856898029134527,280058.0,273716.0,6342.0,47.59798142100449,75.53596950929014,27.93798808828565,43.159255755282246
49.0,5834.0,5788.0,46.0,99.21151868357902,0.7884813164209845,285892.0,279504.0,6388.0,48.604488590716066,76.08384945212006,27.479360861403997,43.75453976205385
50.0,5835.0,5793.0,42.0,99.280205655527,0.7197943444730015,291727.0,285297.0,6430.0,49.61186523794122,76.58408766079086,26.97222242284964,44.3696734059098
51.0,5835.0,5792.0,43.0,99.2630676949443,0.7369323050557028,297562.0,291089.0,6473.0,50.61906798966365,77.09623630300143,26.477168313337785,44.96972037695041
52.0,5834.0,5798.0,36.0,99.38292766540967,0.6170723345903326,303396.0,296887.0,6509.0,51.627314114402374,77.52501191043353,25.89769779603116,45.6117683207866
53.0,5835.0,5795.0,40.0,99.31448157669237,0.6855184233076272,309231.0,302682.0,6549.0,52.63503855263295,78.00142925202478,25.36639069939183,46.21804855703161
54.0,5834.0,5791.0,43.0,99.26294137812822,0.7370586218717818,315065.0,308473.0,6592.0,53.642067408852675,78.51357789423535,24.87151048538268,46.795054611650485
55.0,5835.0,5787.0,48.0,99.17737789203085,0.8226221079691527,320900.0,314260.0,6640.0,54.64840068306153,79.08527870414483,24.436878021083295,47.32831325301205
56.0,5834.0,5798.0,36.0,99.38292766540967,0.6170723345903326,326734.0,320058.0,6676.0,55.65664680780026,79.51405431157694,23.857407503776685,47.9415817855003
57.0,5835.0,5783.0,52.0,99.10882604970008,0.8911739502999154,332569.0,325841.0,6728.0,56.66228449999826,80.13339685564554,23.471112355647286,48.43058858501784
58.0,5834.0,5791.0,43.0,99.26294137812822,0.7370586218717818,338403.0,331632.0,6771.0,57.669313356217984,80.64554549785612,22.976232141638135,48.97828976517501
59.0,5835.0,5784.0,51.0,99.12596401028277,0.8740359897172283,344238.0,337416.0,6822.0,58.6751249439187,81.25297760838494,22.577852664466235,49.45998240985048
60.0,5834.0,5804.0,30.0,99.48577305450806,0.5142269454919415,350072.0,343220.0,6852.0,59.68441444167371,81.61029061457837,21.925876172904665,50.09048453006422
61.0,5835.0,5797.0,38.0,99.34875749785776,0.6512425021422388,355907.0,349017.0,6890.0,60.692486670909716,82.06288708909004,21.370400418180324,50.655587808418
62.0,5834.0,5793.0,41.0,99.29722317449435,0.7027768255056515,361741.0,354810.0,6931.0,61.69986331813487,82.55121486422105,20.851351546086185,51.191747222623
63.0,5835.0,5782.0,53.0,99.0916880891174,0.9083119108826025,367576.0,360592.0,6984.0,62.705327114830155,83.18246784182945,20.477140726999295,51.631156930126004
64.0,5835.0,5802.0,33.0,99.43444730077121,0.5655526992287889,373411.0,366394.0,7017.0,63.714268821579736,83.5755121486422,19.861243327062468,52.215191677354994
