bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
33.0,2500.0,2481.0,19.0,99.24,0.7600000000000051,82517.0,80045.0,2472.0,32.480259046753396,68.45749099972306,35.97723195296967,32.38066343042071
34.0,2501.0,2485.0,16.0,99.36025589764094,0.6397441023590602,85018.0,82530.0,2488.0,33.48860989604045,68.90058155635558,35.411971660315125,33.17122186495177
35.0,2501.0,2487.0,14.0,99.44022391043582,0.5597760895641812,87519.0,85017.0,2502.0,34.49777229530681,69.28828579340903,34.79051349810222,33.97961630695443
36.0,2500.0,2483.0,17.0,99.32,0.6800000000000068,90019.0,87500.0,2519.0,35.505311594614554,69.75906950983106,34.25375791521651,34.73600635172688
37.0,2501.0,2487.0,14.0,99.44022391043582,0.5597760895641812,92520.0,89987.0,2533.0,36.51447399388091,70.14677374688452,33.63229975300361,35.525858665613896
38.0,2500.0,2479.0,21.0,99.16,0.8400000000000034,95020.0,92466.0,2554.0,37.52039019323005,70.7283301024647,33.207939909234646,36.2043852779953
39.0,2501.0,2479.0,22.0,99.1203518592563,0.8796481407436971,97521.0,94945.0,2576.0,38.52630639257919,71.3375796178344,32.811273225255206,36.85753105590062
40.0,2500.0,2487.0,13.0,99.48,0.519999999999996,100021.0,97432.0,2589.0,39.535468791845545,71.69759069509831,32.16212190325277,37.6330629586713
41.0,2501.0,2484.0,17.0,99.32027189124351,0.6797281087564926,102522.0,99916.0,2606.0,40.54341386614295,72.16837441152036,31.624960545377412,38.340752110514195
42.0,2500.0,2485.0,15.0,99.4,0.5999999999999943,105022.0,102401.0,2621.0,41.55176471543,72.58377180836334,31.03200709293334,39.06943914536436
43.0,2501.0,2489.0,12.0,99.52019192323071,0.47980807676928805,107523.0,104890.0,2633.0,42.561738664675666,72.91608972583772,30.354351061162056,39.836688188378275
44.0,2500.0,2482.0,18.0,99.28,0.7199999999999989,110023.0,107372.0,2651.0,43.56887218899376,73.41456660204929,29.845694413055533,40.50245190494153
45.0,2501.0,2478.0,23.0,99.08036785285886,0.9196321471411437,112524.0,109850.0,2674.0,44.574382613353244,74.05150927720852,29.47712666385528,41.08077786088257
46.0,2500.0,2487.0,13.0,99.48,0.519999999999996,115024.0,112337.0,2687.0,45.5835450126196,74.41152035447244,28.82797534185284,41.80759211016003
47.0,2501.0,2483.0,18.0,99.28028788484606,0.7197121151539392,117525.0,114820.0,2705.0,46.59108431192735,74.90999723068403,28.31891291875668,42.44731977818854
48.0,2500.0,2482.0,18.0,99.28,0.7199999999999989,120025.0,117302.0,2723.0,47.598217836245446,75.4084741068956,27.81025627065015,43.07822254865957
49.0,2501.0,2483.0,18.0,99.28028788484606,0.7197121151539392,122526.0,119785.0,2741.0,48.60575713555319,75.90695098310717,27.301193847553975,43.70120394016782
50.0,2501.0,2484.0,17.0,99.32027189124351,0.6797281087564926,125027.0,122269.0,2758.0,49.613702209850594,76.37773469952921,26.76403248967862,44.33248730964467
51.0,2500.0,2486.0,14.0,99.44,0.5600000000000023,127527.0,124755.0,2772.0,50.6224588341273,76.76543893658267,26.14298010245537,45.00541125541125
52.0,2501.0,2485.0,16.0,99.36025589764094,0.6397441023590602,130028.0,127240.0,2788.0,51.630809683414356,77.20852949321518,25.577719809800826,45.63845050215208
53.0,2500.0,2481.0,19.0,99.24,0.7600000000000051,132528.0,129721.0,2807.0,52.637537432742796,77.73469952921629,25.09716209647349,46.21339508371927
54.0,2501.0,2482.0,19.0,99.24030387844861,0.7596961215513858,135029.0,132203.0,2826.0,53.64467095706089,78.26086956521739,24.616198608156502,46.78096249115357
55.0,2500.0,2485.0,15.0,99.4,0.5999999999999943,137529.0,134688.0,2841.0,54.653021806347944,78.67626696206037,24.023245155712424,47.40865892291447
56.0,2501.0,2481.0,20.0,99.20031987205118,0.7996801279488182,140030.0,137169.0,2861.0,55.659749555676385,79.23013015785101,23.570380602174623,47.94442502621461
57.0,2500.0,2488.0,12.0,99.52,0.480000000000004,142530.0,139657.0,2873.0,56.669317729932395,79.56244807532539,22.893130345392997,48.61016359206405
58.0,2501.0,2482.0,19.0,99.24030387844861,0.7596961215513858,145031.0,142139.0,2892.0,57.676451254250495,80.0886181113265,22.412166857076002,49.14903181189488
59.0,2500.0,2480.0,20.0,99.2,0.7999999999999972,147531.0,144619.0,2912.0,58.682773228589284,80.64248130711714,21.959708078527854,49.66311813186813
60.0,2501.0,2484.0,17.0,99.32027189124351,0.6797281087564926,150032.0,147103.0,2929.0,59.69071830288669,81.11326502353918,21.422546720652498,50.222942983953565
61.0,2500.0,2482.0,18.0,99.28,0.7199999999999989,152532.0,149585.0,2947.0,60.69785182720478,81.61174189975077,20.91389007254599,50.75839837122498
62.0,2501.0,2477.0,24.0,99.04038384646141,0.9596161535385903,155033.0,152062.0,2971.0,61.70295647657461,82.27637773469952,20.57342125812491,51.182093571188155
63.0,2500.0,2483.0,17.0,99.32,0.6800000000000068,157533.0,154545.0,2988.0,62.71049577588236,82.74716145112157,20.036665675239213,51.721887550200805
64.0,2501.0,2481.0,20.0,99.20031987205118,0.7996801279488182,160034.0,157026.0,3008.0,63.7172235252108,83.30102464691221,19.583801121701413,52.202792553191486
65.0,2500.0,2476.0,24.0,99.04,0.9599999999999937,162534.0,159502.0,3032.0,64.72192239959098,83.96566048186098,19.24373808227,52.60620052770449
66.0,2501.0,2484.0,17.0,99.32027189124351,0.6797281087564926,165035.0,161986.0,3049.0,65.72986747388838,84.43644419828303,18.70657672439465,53.12758281403739
67.0,2501.0,2485.0,16.0,99.36025589764094,0.6397441023590602,167536.0,164471.0,3065.0,66.73821832317543,84.87953475491554,18.14131643174011,53.66101141924959
68.0,2500.0,2483.0,17.0,99.32,0.6800000000000068,170036.0,166954.0,3082.0,67.74575762248318,85.35031847133757,17.60456084885439,54.17066839714471
69.0,2501.0,2483.0,18.0,99.28028788484606,0.7197121151539392,172537.0,169437.0,3100.0,68.75329692179093,85.84879534754916,17.095498425758223,54.65709677419355
70.0,2500.0,2480.0,20.0,99.2,0.7999999999999972,175037.0,171917.0,3120.0,69.75961889612972,86.4026585433398,16.643039647210074,55.10160256410256
71.0,2501.0,2488.0,13.0,99.48020791683327,0.5197920831667346,177538.0,174405.0,3133.0,70.76918707038573,86.76266962060372,15.99348255021799,55.66709224385573
72.0,2500.0,2488.0,12.0,99.52,0.480000000000004,180038.0,176893.0,3145.0,71.77875524464174,87.0949875380781,15.316232293436357,56.24578696343402
73.0,2501.0,2477.0,24.0,99.04038384646141,0.9596161535385903,182539.0,179370.0,3169.0,72.78385989401157,87.75962337302687,14.9757634790153,56.60145156200694
74.0,2500.0,2481.0,19.0,99.24,0.7600000000000051,185039.0,181851.0,3188.0,73.79058764334002,88.28579340902797,14.495205765687956,57.042346298619826
75.0,2501.0,2481.0,20.0,99.20031987205118,0.7996801279488182,187540.0,184332.0,3208.0,74.79731539266845,88.83965660481861,14.042341212150163,57.46009975062344
76.0,2500.0,2484.0,16.0,99.36,0.6400000000000006,190040.0,186816.0,3224.0,75.80526046696586,89.28274716145113,13.477486694485265,57.945409429280396
77.0,2501.0,2485.0,16.0,99.36025589764094,0.6397441023590602,192541.0,189301.0,3240.0,76.81361131625292,89.72583771808364,12.912226401830722,58.42623456790123
78.0,2500.0,2480.0,20.0,99.2,0.7999999999999972,195041.0,191781.0,3260.0,77.8199332905917,90.27970091387428,12.459767623282573,58.82852760736196
79.0,2501.0,2481.0,20.0,99.20031987205118,0.7996801279488182,197542.0,194262.0,3280.0,78.82666103992014,90.83356410966492,12.00690306974478,59.22621951219512
80.0,2500.0,2477.0,23.0,99.08,0.9200000000000017,200042.0,196739.0,3303.0,79.83176568928998,91.47050678482415,11.638741095534172,59.563729942476535
81.0,2501.0,2482.0,19.0,99.24030387844861,0.7596961215513858,202543.0,199221.0,3322.0,80.83889921360807,91.99667682082526,11.157777607217184,59.97019867549669
82.0,2500.0,2483.0,17.0,99.32,0.6800000000000068,205043.0,201704.0,3339.0,81.84643851291582,92.4674605372473,10.62102202433148,60.40850554058101
83.0,2501.0,2487.0,14.0,99.44022391043582,0.5597760895641812,207544.0,204191.0,3353.0,82.85560091218218,92.85516477430075,9.999563862118563,60.89800178944229
84.0,2501.0,2479.0,22.0,99.1203518592563,0.8796481407436971,210045.0,206670.0,3375.0,83.86151711153131,93.46441428967046,9.602897178139145,61.23555555555556
85.0,2500.0,2485.0,15.0,99.4,0.5999999999999943,212545.0,209155.0,3390.0,84.86986796081837,93.87981168651343,9.009943725695067,61.6976401179941
86.0,2501.0,2474.0,27.0,98.9204318272691,1.0795681727309017,215046.0,211629.0,3417.0,85.87375528521925,94.6275270008308,8.753771715611549,61.934152765583846
87.0,2500.0,2484.0,16.0,99.36,0.6400000000000006,217546.0,214113.0,3433.0,86.88170035951664,95.07061755746331,8.188917197946665,62.36906495776289
88.0,2501.0,2482.0,19.0,99.24030387844861,0.7596961215513858,220047.0,216595.0,3452.0,87.88883388383474,95.59678759346441,7.7079537096296775,62.74478563151796
89.0,2500.0,2483.0,17.0,99.32,0.6800000000000068,222547.0,219078.0,3469.0,88.89637318314249,96.06757130988646,7.171198126743974,63.15307004900548
90.0,2501.0,2493.0,8.0,99.68012794882047,0.3198720511795301,225048.0,221571.0,3477.0,89.90797023234676,96.28911658820272,6.381146355855961,63.72476272648835
91.0,2500.0,2488.0,12.0,99.52,0.480000000000004,227548.0,224059.0,3489.0,90.91753840660277,96.6214345056771,5.703896099074328,64.21868730295213
92.0,2501.0,2491.0,10.0,99.60015993602559,0.3998400639744091,230049.0,226550.0,3499.0,91.92832390582774,96.89836610357241,4.970042197744675,64.7470705915976
93.0,2500.0,2483.0,17.0,99.32,0.6800000000000068,232549.0,229033.0,3516.0,92.93586320513549,97.36914981999446,4.433286614858972,65.14021615472127
94.0,2501.0,2486.0,15.0,99.40023990403839,0.5997600959616136,235050.0,231519.0,3531.0,93.94461982941219,97.78454721683744,3.8399273874252486,65.56754460492779
95.0,2500.0,2486.0,14.0,99.44,0.5600000000000023,237550.0,234005.0,3545.0,94.9533764536889,98.1722514538909,3.21887500020199,66.0098730606488
96.0,2501.0,2479.0,22.0,99.1203518592563,0.8796481407436971,240051.0,236484.0,3567.0,95.95929265303803,98.78150096926059,2.8222083162225573,66.2977291841884
97.0,2500.0,2492.0,8.0,99.68,0.3199999999999932,242551.0,238976.0,3575.0,96.97048392725266,99.00304624757685,2.032562320324189,66.84643356643356
98.0,2501.0,2486.0,15.0,99.40023990403839,0.5997600959616136,245052.0,241462.0,3590.0,97.97924055152937,99.41844364441982,1.4392030928904518,67.25961002785516
99.0,2500.0,2487.0,13.0,99.48,0.519999999999996,247552.0,243949.0,3603.0,98.98840295079573,99.77845472168374,0.790051770888013,67.70718845406606
100.0,2501.0,2493.0,8.0,99.68012794882047,0.3198720511795301,250053.0,246442.0,3611.0,100.0,100.0,0.0,68.24757684851842
