bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
12.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,19979.0,18661.0,1318.0,11.371239496182369,55.238893545683155,43.867654049500786,14.158573596358119
13.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,21644.0,20316.0,1328.0,12.379727860481271,55.6580050293378,43.27827716885653,15.298192771084338
14.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,23309.0,21969.0,1340.0,13.386997507723619,56.16093880972338,42.77394130199976,16.394776119402984
15.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,24974.0,23620.0,1354.0,14.393048437909412,56.7476948868399,42.35464644893049,17.44460856720827
16.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,26639.0,25273.0,1366.0,15.400318085151762,57.250628667225484,41.850310582073725,18.501464128843338
17.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,28304.0,26926.0,1378.0,16.40758773239411,57.75356244761107,41.345974715216954,19.53991291727141
18.0,1665.0,1648.0,17.0,98.97897897897897,1.0210210210210278,29969.0,28574.0,1395.0,17.41181058699507,58.46605196982397,41.054241382828906,20.483154121863798
19.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,31634.0,30227.0,1407.0,18.41908023423742,58.968985750209555,40.549905515972135,21.483297796730632
20.0,1665.0,1660.0,5.0,99.69969969969969,0.3003003003003073,33299.0,31887.0,1412.0,19.430615391177707,59.178541492036885,39.747926100859175,22.5828611898017
21.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,34964.0,33540.0,1424.0,20.437885038420056,59.68147527242247,39.24359023400241,23.553370786516854
22.0,1664.0,1657.0,7.0,99.57932692307692,0.4206730769230802,36628.0,35197.0,1431.0,21.44759211977551,59.97485331098072,38.52726119120521,24.596086652690428
23.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,38293.0,36848.0,1445.0,22.453643049961304,60.56160938809723,38.107966338135924,25.500346020761246
24.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,39958.0,38503.0,1455.0,23.46213141426021,60.980720871751885,37.51858945749167,26.46254295532646
25.0,1665.0,1652.0,13.0,99.21921921921921,0.7807807807807876,41623.0,40155.0,1468.0,24.46879170297428,61.52556580050293,37.05677409752865,27.353542234332426
26.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,43288.0,41811.0,1477.0,25.477889425801457,61.90276613579212,36.42487670999066,28.308056872037916
27.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,44953.0,43464.0,1489.0,26.485159073043807,62.4056999161777,35.92054084313389,29.190060443250502
28.0,1665.0,1648.0,17.0,98.97897897897897,1.0210210210210278,46618.0,45112.0,1506.0,27.489381927644768,63.11818943839061,35.628807510745844,29.95484727755644
29.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,48283.0,46765.0,1518.0,28.496651574887117,63.6211232187762,35.12447164388908,30.806982872200262
30.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,49948.0,48418.0,1530.0,29.503921222129463,64.12405699916178,34.62013577703232,31.64575163398693
31.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,51613.0,50069.0,1544.0,30.509972152315257,64.71081307627828,34.20084092396303,32.428108808290155
32.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,53278.0,51722.0,1556.0,31.517241799557606,65.21374685666387,33.696505057106265,33.24035989717223
33.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,54943.0,53373.0,1570.0,32.523292729743396,65.80050293378038,33.27721020403698,33.99554140127388
34.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,56608.0,55028.0,1580.0,33.5317810940423,66.21961441743504,32.68783332339274,34.82784810126582
35.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,58273.0,56681.0,1592.0,34.53905074128465,66.72254819782061,32.18349745653597,35.6036432160804
36.0,1664.0,1654.0,10.0,99.39903846153847,0.600961538461533,59937.0,58335.0,1602.0,35.54692974705527,67.14165968147528,31.594729934420002,36.41385767790262
37.0,1665.0,1652.0,13.0,99.21921921921921,0.7807807807807876,61602.0,59987.0,1615.0,36.553590035769346,67.68650461022632,31.132914574456976,37.143653250773994
38.0,1665.0,1646.0,19.0,98.85885885885885,1.1411411411411478,63267.0,61633.0,1634.0,37.556594173313755,68.48281642917016,30.926222255856402,37.71909424724602
39.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,64932.0,63291.0,1641.0,38.566910613197486,68.77619446772842,30.20928385453093,38.56855575868373
40.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,66597.0,64947.0,1650.0,39.576008336024664,69.1533948030176,29.57738646699294,39.36181818181818
41.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,68262.0,66604.0,1658.0,40.58571541738012,69.48868398994132,28.9029685725612,40.17129071170084
42.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,69927.0,68255.0,1672.0,41.591766347565915,70.07544006705784,28.483673719491925,40.82236842105263
43.0,1665.0,1659.0,6.0,99.63963963963964,0.36036036036036023,71592.0,69914.0,1678.0,42.602692145977926,70.32690695725063,27.724214811272702,41.66507747318236
44.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,73257.0,71567.0,1690.0,43.60996179322028,70.82984073763622,27.21987894441594,42.34733727810651
45.0,1665.0,1649.0,16.0,99.03903903903904,0.9609609609609606,74922.0,73216.0,1706.0,44.61479400634951,71.50041911148365,26.88562510513414,42.91676436107855
46.0,1665.0,1661.0,4.0,99.75975975975976,0.24024024024024015,76587.0,74877.0,1710.0,45.62693852181808,71.66806370494551,26.041125183127427,43.78771929824561
47.0,1665.0,1644.0,21.0,98.73873873873873,1.261261261261268,78252.0,76521.0,1731.0,46.62872394230593,72.54819782062029,25.919473878314356,44.20623916811092
48.0,1665.0,1649.0,16.0,99.03903903903904,0.9609609609609606,79917.0,78170.0,1747.0,47.63355615543517,73.21877619446772,25.58522003903255,44.74527761877504
49.0,1665.0,1652.0,13.0,99.21921921921921,0.7807807807807876,81582.0,79822.0,1760.0,48.640216444149246,73.76362112321878,25.123404679069537,45.35340909090909
50.0,1664.0,1654.0,10.0,99.39903846153847,0.600961538461533,83246.0,81476.0,1770.0,49.64809544991987,74.18273260687343,24.534637156953558,46.0316384180791
51.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,84911.0,83131.0,1780.0,50.65658381421877,74.60184409052808,23.945260276309305,46.70280898876405
52.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,86576.0,84789.0,1787.0,51.66690025410251,74.89522212908633,23.228321874983827,47.447677672076104
53.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,88241.0,86445.0,1796.0,52.675997976929686,75.27242246437552,22.596424487445837,48.13195991091314
54.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,89906.0,88098.0,1808.0,53.68326762417203,75.77535624476111,22.09208862058908,48.72676991150443
55.0,1665.0,1649.0,16.0,99.03903903903904,0.9609609609609606,91571.0,89747.0,1824.0,54.68809983730127,76.44593461860855,21.757834781307274,49.20339912280702
56.0,1665.0,1649.0,16.0,99.03903903903904,0.9609609609609606,93236.0,91396.0,1840.0,55.692932050430514,77.116512992456,21.42358094202548,49.67173913043478
57.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,94901.0,93050.0,1851.0,56.70081105620114,77.57753562447611,20.876724568274973,50.270124257158294
58.0,1665.0,1648.0,17.0,98.97897897897897,1.0210210210210278,96566.0,94698.0,1868.0,57.7050339108021,78.29002514668902,20.584991235886918,50.694860813704494
59.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,98231.0,96356.0,1875.0,58.71535035068583,78.58340318524728,19.868052834561446,51.38986666666667
60.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,99896.0,98009.0,1887.0,59.722619997928184,79.08633696563285,19.36371696770467,51.93905670376259
61.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,101561.0,99665.0,1896.0,60.73171772075536,79.46353730092204,18.73181958016668,52.56592827004219
62.0,1665.0,1650.0,15.0,99.09909909909909,0.9009009009009077,103226.0,101315.0,1911.0,61.737159292412876,80.09220452640402,18.35504523399114,53.0167451596023
63.0,1665.0,1648.0,17.0,98.97897897897897,1.0210210210210278,104891.0,102963.0,1928.0,62.74138214701384,80.80469404861694,18.0633119016031,53.40404564315353
64.0,1665.0,1645.0,20.0,98.7987987987988,1.2012012012012008,106556.0,104608.0,1948.0,63.743776926029966,81.64291701592623,17.899140089896264,53.700205338809035
65.0,1664.0,1649.0,15.0,99.0985576923077,0.9014423076923066,108220.0,106257.0,1963.0,64.74860913915921,82.27158424140822,17.522975102249006,54.12990320937341
66.0,1665.0,1647.0,18.0,98.91891891891892,1.0810810810810807,109885.0,107904.0,1981.0,65.75222263523189,83.02598491198658,17.273762276754695,54.469459868753155
67.0,1665.0,1659.0,6.0,99.63963963963964,0.36036036036036023,111550.0,109563.0,1987.0,66.7631484336439,83.27745180217939,16.51430336853548,55.139909411172624
68.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,113215.0,111214.0,2001.0,67.7691993638297,83.86420787929589,16.09500851546619,55.5792103948026
69.0,1665.0,1649.0,16.0,99.03903903903904,0.9609609609609606,114880.0,112863.0,2017.0,68.77403157695893,84.53478625314334,15.760754676184405,55.95587506197323
70.0,1665.0,1648.0,17.0,98.97897897897897,1.0210210210210278,116545.0,114511.0,2034.0,69.7782544315599,85.24727577535624,15.469021343796342,56.2984267453294
71.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,118210.0,116162.0,2048.0,70.7843053617457,85.83403185247276,15.049726490727068,56.7197265625
72.0,1665.0,1652.0,13.0,99.21921921921921,0.7807807807807876,119875.0,117814.0,2061.0,71.79096565045977,86.37887678122381,14.587911130764041,57.163512857836004
73.0,1665.0,1659.0,6.0,99.63963963963964,0.36036036036036023,121540.0,119473.0,2067.0,72.80189144887177,86.6303436714166,13.828452222544826,57.80019351717465
74.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,123205.0,121130.0,2075.0,73.81159853022723,86.96563285834031,13.154034328113084,58.37590361445783
75.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,124870.0,122781.0,2089.0,74.81764946041302,87.55238893545683,12.73473947504381,58.77501196744854
76.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,126535.0,124434.0,2101.0,75.82491910765538,88.05532271584241,12.230403608187032,59.22608281770585
77.0,1665.0,1648.0,17.0,98.97897897897897,1.0210210210210278,128200.0,126082.0,2118.0,76.82914196225633,88.76781223805533,11.938670275798998,59.52880075542965
78.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,129865.0,127737.0,2128.0,77.83763032655524,89.18692372170997,11.349293395154731,60.026785714285715
79.0,1664.0,1650.0,14.0,99.15865384615384,0.8413461538461604,131529.0,129387.0,2142.0,78.84307189821276,89.77367979882649,10.930607900613737,60.404761904761905
80.0,1665.0,1642.0,23.0,98.61861861861861,1.381381381381388,133194.0,131029.0,2165.0,79.84363860164405,90.73763621123219,10.89399760958814,60.52147806004619
81.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,134859.0,132684.0,2175.0,80.85212696594296,91.15674769488685,10.304620728943888,61.004137931034485
